80	20AC
81	FFFD
82	201A
83	0192
84	201E
85	2026
86	2020
87	2021
88	02C6
89	2030
8A	FFFD
8B	2039
8C	FFFD
8D	FFFD
8E	FFFD
8F	FFFD
90	FFFD
91	2018
92	2019
93	201C
94	201D
95	2022
96	2013
97	2014
98	02DC
99	2122
9A	FFFD
9B	203A
9C	FFFD
9D	FFFD
9E	FFFD
9F	FFFD
A0	00A0
A1	FFFD
A2	00A2
A3	00A3
A4	20AA
A5	00A5
A6	00A6
A7	00A7
A8	00A8
A9	00A9
AA	FFFD
AB	00AB
AC	00AC
AD	00AD
AE	00AE
AF	00AF
B0	00B0
B1	00B1
B2	00B2
B3	00B3
B4	00B4
B5	00B5
B6	00B6
B7	00B7
B8	FFFD
B9	00B9
BA	FFFD
BB	00BB
BC	00BC
BD	00BD
BE	00BE
BF	FFFD
C0	05B0
C1	05B1
C2	05B2
C3	05B3
C4	05B4
C5	05B5
C6	05B6
C7	05B7
C8	05B8
C9	05B9
CA	05BA
CB	05BB
CC	05BC
CD	05BD
CE	05BE
CF	05BF
D0	05C0
D1	05C1
D2	05C2
D3	05C3
D4	05F0
D5	05F1
D6	05F2
D7	FFFD
D8	FFFD
D9	FFFD
DA	FFFD
DB	FFFD
DC	FFFD
DD	FFFD
DE	FFFD
DF	FFFD
E0	05D0
E1	05D1
E2	05D2
E3	05D3
E4	05D4
E5	05D5
E6	05D6
E7	05D7
E8	05D8
E9	05D9
EA	05DA
EB	05DB
EC	05DC
ED	05DD
EE	05DE
EF	05DF
F0	05E0
F1	05E1
F2	05E2
F3	05E3
F4	05E4
F5	05E5
F6	05E6
F7	05E7
F8	05E8
F9	05E9
FA	05EA
FB	FFFD
FC	FFFD
FD	200E
FE	200F
FF	FFFD
