80	20AC
81	FFFD
82	201A
83	0192
84	201E
85	2026
86	2020
87	2021
88	02C6
89	2030
8A	0160
8B	2039
8C	0152
8D	FFFD
8E	FFFD
8F	FFFD
90	FFFD
91	2018
92	2019
93	201C
94	201D
95	2022
96	2013
97	2014
98	02DC
99	2122
9A	0161
9B	203A
9C	0153
9D	FFFD
9E	FFFD
9F	0178
A0	00A0
A1	00A1
A2	00A2
A3	00A3
A4	00A4
A5	00A5
A6	00A6
A7	00A7
A8	00A8
A9	00A9
AA	00AA
AB	00AB
AC	00AC
AD	00AD
AE	00AE
AF	00AF
B0	00B0
B1	00B1
B2	00B2
B3	00B3
B4	00B4
B5	00B5
B6	00B6
B7	00B7
B8	00B8
B9	00B9
BA	00BA
BB	00BB
BC	00BC
BD	00BD
BE	00BE
BF	00BF
C0	00C0
C1	00C1
C2	00C2
C3	00C3
C4	00C4
C5	00C5
C6	00C6
C7	00C7
C8	00C8
C9	00C9
CA	00CA
CB	00CB
CC	00CC
CD	00CD
CE	00CE
CF	00CF
D0	011E
D1	00D1
D2	00D2
D3	00D3
D4	00D4
D5	00D5
D6	00D6
D7	00D7
D8	00D8
D9	00D9
DA	00DA
DB	00DB
DC	00DC
DD	0130
DE	015E
DF	00DF
E0	00E0
E1	00E1
E2	00E2
E3	00E3
E4	00E4
E5	00E5
E6	00E6
E7	00E7
E8	00E8
E9	00E9
EA	00EA
EB	00EB
EC	00EC
ED	00ED
EE	00EE
EF	00EF
F0	011F
F1	00F1
F2	00F2
F3	00F3
F4	00F4
F5	00F5
F6	00F6
F7	00F7
F8	00F8
F9	00F9
FA	00FA
FB	00FB
FC	00FC
FD	0131
FE	015F
FF	00FF
