SDE     ORACLE         INFORMIX    SYBASE    DB2      SQLSERVER	ARCINFO 
------  ------         --------    ------    ---      --------- -------
big5    zht16big5      big5        big5      950      big5      BIG5
big5    zht16hkscs     big5        big5      950      big5      BIG5
big5    zht16mswin950  big5        big5      950      big5      BIG5
tw_euc  zht32euc       EUCXtwn     euccns    964      euccns    zh_tw,EUC
zh      cgb2312-80     gb          eucgb     1383     eucgb     zh,EUC 
zh      cgb2312-80     gb          eucgb     1383     eucgb     zh 
sjis    ja16sjis       sjis-s      sjis      932      sjis      SJIS
jpn_euc ja16euc        ujis        eucjis    954      eucjis    ja,EUC
ko      ko16ksc5601    ksc         eucksc    949      eucksc    ko,EUC 
ko      ko16ksc5601    ksc         eucksc    949      eucksc    ko 
88591   we8iso8859p1   8859-1      iso_1     819      iso_1     88591 
88592   ee8iso8859p2   8859-2      iso88592  912      iso_2     88592
88593   se8iso8859p3   8859-3      iso88593  none     iso_3     88593
88594   nee8iso8859p4  8859-4      iso88594  none     iso_4     88594
88595   cl8iso8859p5   8859-5      iso88595  915      iso_5     88595
88596   ar8iso8859p6   8859-6      iso88596  1089     iso_6     88596
88597   el8iso8859p7   8859-7      iso88597  813      iso_7     88597
88598   iw8iso8859p8   8859-8      iso88598  916      iso_8     88598
88599   we8iso8859p9   8859-9      iso88599  920      iso_9     88599
885910  ne8iso8859p10  8859-10     iso885910 none     iso_10    885910
885913  blt8iso8859p13 8859-13     iso885913 none     iso_13    885913
885915  we8iso8859p15  8859-15     iso885915 none     iso_15    885915
roman8  we8roman8      none        none      none     roman8    none
437     us8pc437       437         cp437     437      cp437     437
850     we8pc850       PC-Latin-1  cp850     850      cp850     850
851     el8pc851       851         cp851     851      cp851     851
852     ee8pc852       PC-Latin-2  cp852     852      cp852     852
855     ru8pc855       855         cp855     855      cp855     855
857     tr8pc857       857         cp857     857      cp857     857
860     we8pc860       860         cp860     860      cp860     860
861     is8pc861       861         cp861     861      cp861     861
862     iw8pc1507      862         cp862     862      cp862     862
863     cdn8pc863      863         cp863     863      cp863     863
864     none           864         cp864     864      cp864     864
865     n8pc865        865         cp865     865      cp865     865
866     ru8pc866       866         cp866     866      cp866     866
869     el8pc869       869         cp869     869      cp869     869
708     none           708         cp708     708      cp708     708
720     none           720         cp720     720      cp720     720
737     el8pc737       737         cp737     737      cp737     737
775     blt8pc775      775         cp775     775      cp775     775
1250    ee8mswin1250   CP1250      cp1250    1250     cp1250    1250 
1251    cl8mswin1251   CP1251      cp1251    1251     cp1251    1251 
1252    we8mswin1252   CP1252      cp1252    1252     cp1252    1252 
1253    el8mswin1253   CP1253      cp1253    1253     cp1253    1253 
1254    tr8mswin1254   CP1254      cp1254    1254     cp1254    1254 
1255    iw8mswin1255   CP1255      cp1255    1255     cp1255    1255 
1256    ar8mswin1256   CP1256      cp1256    1256     cp1256    1256 
1257    blt8mswin1257  CP1257      cp1257    1257     cp1257    1257 
1258    vn8mswin1258   CP1258      cp1258    1258     cp1258    1258 
