DBID,Date,Animal Type,Species,Alive/Dead,Area,State,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Injured,Injury Desc.,Notes
1,29-12-04,Fish,Giant Sunfish,No Data,Nehalem Bay,Oregon,-123.93,45.69,Estimate,0,0,0,No Data,No Data,,
2,25-10-10,Fish,Giant Sunfish,No Data,"North Jetty, Newport",Oregon,-124.067,44.617,Estimate,0,0,0,No Data,No Data,,
3,25-10-10,Fish,Giant Sunfish,No Data,"North Jetty, Newport",Oregon,-124.067,44.617,Estimate,0,0,0,No Data,No Data,,
4,27-10-10,Fish,Giant Sunfish,No Data,"Thiel Creek, Newport",Oregon,-124.069,44.564,Estimate,36,31,0,No Data,No Data,,
5,27-10-10,Fish,Giant Sunfish,No Data,"Thiel Creek, Newport",Oregon,-124.069,44.564,Estimate,36,31,0,No Data,No Data,,
6,27-10-10,Fish,Giant Sunfish,No Data,"Thiel Creek, Newport",Oregon,-124.069,44.564,Estimate,36,31,0,No Data,No Data,,
7,10-10-13,Fish,Giant Sunfish,Dead,"Mcphillips Beach, North Side Of Cape Kiwanda, Pacific City",Oregon,-123.975,45.221,Estimate,0,0,0,No Data,Yes,small bites on back,
8,21-11-15,Fish,Giant Sunfish,Dead,"Otter Rock, Otter Crest Overlook To The North; Devils Punchbowl To The South; Gull Rock To The West (An Ocean Sea Stack); Inn At Otter Crest To The East-Isn",Oregon,-124.07,44.75,Estimate,0,0,0,No Data,Yes,"Fish was bloated, pale, with no eyes. Possible large bite taken out of top of head",
9,01-09-58,Turtle,Green Sea Turtle,Live/Dead,Naselle,Washington,-123.812,46.366,Estimate,0,0,0,Unknown,No Data,,
10,20-02-61,Turtle,Green Sea Turtle,No Data,Westport,Washington,-124.109,46.895,Estimate,0,0,0,Unknown,No Data,,
11,01-10-76,Turtle,Green Sea Turtle,Alive,Point Macartney,Alaska,-134.044,57.024,Estimate,0,0,0,No Data,No Data,,
12,01-11-76,Turtle,Green Sea Turtle,No Data,Eliza Harbor,Alaska,-134.29,57.209,Estimate,0,0,0,No Data,No Data,,
13,01-09-81,Turtle,Green Sea Turtle,Alive,"Dundas Island, B.C.",Alaska,-130.857,54.574,Estimate,0,0,0,No Data,No Data,,
14,22-04-83,Turtle,Green Sea Turtle,Advanced Decomposition,"Huntington Beach, Between Orange County Sanitation District Stations 15N & 21N, North Of Huntington Pier",California,-118.005,33.657,Estimate,0,0,0,No Data,No Data,,
15,16-07-83,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
16,03-08-83,Turtle,Green Sea Turtle,Alive,"Montecito, Butterfly Beach",California,-119.648,34.417,Estimate,0,0,0,No Data,No Data,,
17,30-07-84,Turtle,Green Sea Turtle,Alive,"Seal Beach, San Gabriel River, North Of Pacific Coast Highway",California,-118.114,33.74,Estimate,0,0,0,No Data,No Data,,
18,15-09-85,Turtle,Green Sea Turtle,Advanced Decomposition,"Huntington Beach, South Bolsa Chica State Beach",California,-118.035,33.695,Estimate,0,0,0,No Data,No Data,,
19,20-10-85,Turtle,Green Sea Turtle,Moderate Decomposition,"Redondo Beach, Redondo Beach Generating Station",California,-118.408,33.875,Estimate,0,0,0,No Data,No Data,,
20,02-10-86,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
21,19-06-88,Turtle,Green Sea Turtle,Advanced Decomposition,"La Jolla, Beach North Of Scripp's Pier, Just Below Southwest Fisheries Science Center Building",California,-117.253,32.866,Estimate,0,0,0,No Data,No Data,,
22,29-07-88,Turtle,Green Sea Turtle,Moderate Decomposition,"Long Beach, Alamitos Bay, At Rusty Pelican Restaurant",California,-117.928,33.616,Estimate,0,0,0,No Data,No Data,,
23,29-09-88,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Exact,0,0,0,No Data,No Data,,
24,22-12-88,Turtle,Green Sea Turtle,Alive,"San Diego, Sail Bay Area,  Foot Of Cass Street, Mission Bay",California,-117.249,32.791,Exact,0,0,0,No Data,No Data,,
25,17-02-89,Turtle,Green Sea Turtle,Alive,"Big Sur, Partington Cove, 50-75 Yards Offshore",California,-121.696,36.175,Estimate,0,0,0,No Data,No Data,,
26,26-05-89,Turtle,Green Sea Turtle,Advanced Decomposition,"Carlsbad, Carlsbad State Beach, Near Tamarack Avenue",California,-117.346,33.147,Estimate,0,0,0,No Data,No Data,,
27,23-07-89,Turtle,Green Sea Turtle,Advanced Decomposition,"Summerland, Lookout Park",California,-119.601,34.419,Estimate,0,0,0,No Data,No Data,,
28,01-08-89,Turtle,Green Sea Turtle,Alive,"Playa Del Rey, Scattergood Generating Station",California,-118.429,33.916,Estimate,0,0,0,No Data,No Data,,
29,17-11-89,Turtle,Green Sea Turtle,Live,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,
30,22-01-90,Turtle,Green Sea Turtle,Dead,Cannon Beach,Oregon,-123.964,45.89,Estimate,0,0,0,Unknown,No Data,,
31,27-01-90,Turtle,Green Sea Turtle,Dead,Sunset Beach,Oregon,-123.94,46.1,Estimate,0,0,0,Unknown,No Data,,
32,29-01-90,Turtle,Green Sea Turtle,Live,Copalis Beach,Washington,-124.181,47.112,Estimate,0,0,0,Unknown,No Data,,
33,30-01-90,Turtle,Green Sea Turtle,Dead,Kipsan Beach,Washington,-124.059,46.466,Estimate,0,0,0,Unknown,No Data,,
34,03-02-90,Turtle,Green Sea Turtle,Dead,Twin Harbors,Washington,-124.114,46.856,Estimate,0,0,0,Unknown,No Data,,
35,09-02-90,Turtle,Green Sea Turtle,Live,Sunset Beach,Oregon,-123.94,46.1,Estimate,0,0,0,Unknown,No Data,,
36,06-08-90,Turtle,Green Sea Turtle,Moderate Decomposition,"Chula Vista, South San Diego Bay, Near South Bay Boat Yard",California,-117.106,32.631,Exact,0,0,0,No Data,No Data,,
37,16-08-90,Turtle,Green Sea Turtle,Advanced Decomposition,"Bodega Bay, Near Pinnacle Rock",California,-123.019,38.307,Exact,0,0,0,No Data,No Data,,
38,16-08-90,Turtle,Green Sea Turtle,Fresh Dead,"San Diego, Pier 4, 32Nd Street Naval Base",California,-117.126,32.681,Exact,0,0,0,No Data,No Data,,
39,23-08-90,Turtle,Green Sea Turtle,Moderate Decomposition,"San Diego, Vicinity Of Mission Bay Visitor Center",California,-117.21,32.789,Exact,0,0,0,No Data,No Data,,
40,14-09-90,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
41,26-09-90,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
42,03-10-90,Turtle,Green Sea Turtle,Fresh Dead,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
43,25-10-90,Turtle,Green Sea Turtle,Advanced Decomposition,"Seal Beach, Jetty, East Of Seal Beach Pier, Just Adjacent To Anaheim Bay",California,-118.099,33.734,Estimate,0,0,0,No Data,No Data,,
44,30-10-90,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
45,16-12-90,Turtle,Green Sea Turtle,Advanced Decomposition,"Newport Beach, 61St Street",California,-117.949,33.625,Exact,0,0,0,No Data,No Data,,
46,21-02-91,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
47,14-03-91,Turtle,Green Sea Turtle,Fresh Dead,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
48,07-08-91,Turtle,Green Sea Turtle,Alive,"Playa Del Rey, Scattergood Generating Station",California,-118.429,33.916,Exact,0,0,0,No Data,No Data,,
49,06-09-91,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
50,08-09-91,Turtle,Green Sea Turtle,Advanced Decomposition,"San Diego, Emory Mudflat, San Diego Bay",California,-117.13,32.654,Estimate,0,0,0,No Data,No Data,,
51,06-11-91,Turtle,Green Sea Turtle,Unknown,Pistol River,Oregon,-124.406,42.276,Estimate,0,0,0,Unknown,No Data,,
52,03-05-92,Turtle,Green Sea Turtle,Advanced Decomposition,"Del Mar, Del Mar City Beach, 1/2 Mile North Of 17Th Street",California,-117.268,32.963,Exact,0,0,0,No Data,No Data,,
53,06-05-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
54,03-06-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
55,13-07-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
56,30-07-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
57,13-08-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
58,09-09-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
59,16-09-92,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
60,10-11-92,Turtle,Green Sea Turtle,Advanced Decomposition,"Pebble Beach, Off 17-Mile Drive Near China Rock",California,-121.959,36.605,Exact,0,0,0,No Data,No Data,,
61,01-10-93,Turtle,Green Sea Turtle,No Data,Homer (Bishop Beach),Alaska,-151.54,59.637,Estimate,0,0,0,No Data,No Data,,
62,01-10-93,Turtle,Green Sea Turtle,Alive,Seldovia,Alaska,-151.717,59.439,Estimate,0,0,0,No Data,No Data,,
63,20-10-93,Turtle,Green Sea Turtle,No Data,Homer,Alaska,-151.546,59.64,Estimate,0,0,0,No Data,No Data,,
64,21-03-94,Turtle,Green Sea Turtle,Dead,Tahkenich Creek,Oregon,-124.166,43.815,Estimate,0,0,0,Unknown,No Data,,
65,27-04-94,Turtle,Green Sea Turtle,No Data,"Avila Beach, Diablo Canyon Nuclear Generating Station",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
66,09-09-94,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
67,14-09-94,Turtle,Green Sea Turtle,Moderate Decomposition,"San Diego, Mission Bay",California,-117.238,32.77,Estimate,0,0,0,No Data,No Data,,
68,28-10-94,Turtle,Green Sea Turtle,Alive,"Huntington Beach, Huntington Harbor",California,-118.064,33.721,Estimate,0,0,0,No Data,No Data,,
69,09-08-95,Turtle,Green Sea Turtle,Fresh Dead,"Mission Beach, Tecolote Shores Beach Lifeguard Tower, Mission Bay",California,-117.21,32.773,Estimate,0,0,0,No Data,No Data,,
70,20-08-95,Turtle,Green Sea Turtle,Advanced Decomposition,"Huntington Beach, Bolsa Chica State Beach, Lifeguard Tower 24",California,-118.056,33.703,Estimate,0,0,0,No Data,No Data,,
71,10-10-95,Turtle,Green Sea Turtle,Fresh Dead,"Seal Beach, San Gabriel River Mouth, 1St Street",California,-118.114,33.741,Exact,0,0,0,No Data,No Data,,
72,19-01-96,Turtle,Green Sea Turtle,Moderate Decomposition,"Coronado, Silver Strand State Beach - Just S. Of City On Bayside Of Strand",California,-117.132,32.609,Exact,0,0,0,No Data,No Data,,
73,08-05-96,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station, Unit 2",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
74,22-05-96,Turtle,Green Sea Turtle,Alive,"Moss Landing, Salinas River State Beach - Near Mouth Of Salinas River",California,-121.786,36.801,Exact,0,0,0,No Data,No Data,,
75,21-06-96,Turtle,Green Sea Turtle,Alive,"Redondo Beach, Redondo Beach Generating Station - Units 7&8",California,-118.408,33.875,Estimate,0,0,0,No Data,No Data,,
76,24-07-96,Turtle,Green Sea Turtle,Moderate Decomposition,"Moss Beach, Fitzgerald Marine Reserve",California,-122.517,37.523,Exact,0,0,0,No Data,No Data,,
77,01-10-96,Turtle,Green Sea Turtle,Alive,Rocky Pass,Alaska,-133.738,56.677,Estimate,0,0,0,No Data,No Data,,
78,01-10-96,Turtle,Green Sea Turtle,Alive,Copper River Flats,Alaska,-144.961,60.398,Estimate,0,0,0,No Data,No Data,,
79,10-01-97,Turtle,Green Sea Turtle,Alive,"Avila Beach, Diablo Canyon Nuclear Generating Station",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
80,15-02-97,Turtle,Green Sea Turtle,No Data,"Santa Catalina Island, Avalon Harbor, Next To White Sea Bass Feeding Pens",California,-118.324,33.343,Exact,0,0,0,No Data,No Data,,
81,01-05-97,Turtle,Green Sea Turtle,No Data,Blacksand Spit,Alaska,-139.472,59.398,Estimate,0,0,0,No Data,No Data,,
82,12-06-97,Turtle,Green Sea Turtle,No Data,"Avila Beach, Diablo Canyon Nuclear Generating Station",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
83,16-06-97,Turtle,Green Sea Turtle,No Data,"Newport Beach, 44Th Street",California,-117.939,33.619,Exact,0,0,0,No Data,No Data,,
84,13-09-97,Turtle,Green Sea Turtle,No Data,"Oakley, Orwood Resort, In Slough",California,-121.611,37.938,Exact,0,0,0,No Data,No Data,,
