DBID,Date,Animal Type,Species,Alive/Dead,Area,State,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Injured,Injury Desc.,Notes
9,01-09-58,Turtle,Green Sea Turtle,Live/Dead,Naselle,Washington,-123.812,46.366,Estimate,0,0,0,Unknown,No Data,,Caught in a gillnet in the Naselle River estuary.*
10,20-02-61,Turtle,Green Sea Turtle,No Data,Westport,Washington,-124.109,46.895,Estimate,0,0,0,Unknown,No Data,,*
11,01-10-76,Turtle,Green Sea Turtle,Alive,Point Macartney,Alaska,-134.044,57.024,Estimate,0,0,0,No Data,No Data,,SIGHTING
12,01-11-76,Turtle,Green Sea Turtle,No Data,Eliza Harbor,Alaska,-134.29,57.209,Estimate,0,0,0,No Data,No Data,,CARCASS
13,01-09-81,Turtle,Green Sea Turtle,Alive,"Dundas Island, B.C.",Alaska,-130.857,54.574,Estimate,0,0,0,No Data,No Data,,REPEATED SIGHTINGS
29,17-11-89,Turtle,Green Sea Turtle,Live,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,
30,22-01-90,Turtle,Green Sea Turtle,Dead,Cannon Beach,Oregon,-123.964,45.89,Estimate,0,0,0,Unknown,No Data,,
31,27-01-90,Turtle,Green Sea Turtle,Dead,Sunset Beach,Oregon,-123.94,46.1,Estimate,0,0,0,Unknown,No Data,,
32,29-01-90,Turtle,Green Sea Turtle,Live,Copalis Beach,Washington,-124.181,47.112,Estimate,0,0,0,Unknown,No Data,,
33,30-01-90,Turtle,Green Sea Turtle,Dead,Kipsan Beach,Washington,-124.059,46.466,Estimate,0,0,0,Unknown,No Data,,
34,03-02-90,Turtle,Green Sea Turtle,Dead,Twin Harbors,Washington,-124.114,46.856,Estimate,0,0,0,Unknown,No Data,,*
35,09-02-90,Turtle,Green Sea Turtle,Live,Sunset Beach,Oregon,-123.94,46.1,Estimate,0,0,0,Unknown,No Data,,
51,06-11-91,Turtle,Green Sea Turtle,Unknown,Pistol River,Oregon,-124.406,42.276,Estimate,0,0,0,Unknown,No Data,,Turtle was Live when found but died shortly thereafter. 
61,01-10-93,Turtle,Green Sea Turtle,No Data,Homer (Bishop Beach),Alaska,-151.54,59.637,Estimate,0,0,0,No Data,No Data,,CARCASS
62,01-10-93,Turtle,Green Sea Turtle,Alive,Seldovia,Alaska,-151.717,59.439,Estimate,0,0,0,No Data,No Data,,SIGHTING
63,20-10-93,Turtle,Green Sea Turtle,No Data,Homer,Alaska,-151.546,59.64,Estimate,0,0,0,No Data,No Data,,"SHOULDER, SKIN AND MUSCLE TO PRATT MUSEUM"
64,21-03-94,Turtle,Green Sea Turtle,Dead,Tahkenich Creek,Oregon,-124.166,43.815,Estimate,0,0,0,Unknown,No Data,,
77,01-10-96,Turtle,Green Sea Turtle,Alive,Rocky Pass,Alaska,-133.738,56.677,Estimate,0,0,0,No Data,No Data,,SIGHTING
78,01-10-96,Turtle,Green Sea Turtle,Alive,Copper River Flats,Alaska,-144.961,60.398,Estimate,0,0,0,No Data,No Data,,LIVE - SENT TO SAN DIEGO
81,01-05-97,Turtle,Green Sea Turtle,No Data,Blacksand Spit,Alaska,-139.472,59.398,Estimate,0,0,0,No Data,No Data,,CARCASS
86,17-01-98,Turtle,Green Sea Turtle,Live,Beverly Beach State Park,Oregon,-124.058,44.729,Estimate,0,0,0,Unknown,No Data,,
89,01-10-98,Turtle,Green Sea Turtle,No Data,Ocean Cape,Alaska,-139.862,59.542,Estimate,0,0,0,No Data,No Data,,CARCASS
96,31-10-99,Turtle,Green Sea Turtle,Live/Dead,Long Beach,Washington,-124.063,46.356,Estimate,0,0,0,Unknown,No Data,,
97,10-12-99,Turtle,Green Sea Turtle,Live/Dead,Agate Beach,Oregon,-124.067,44.676,Estimate,0,0,0,Unknown,No Data,,
98,13-12-99,Turtle,Green Sea Turtle,Live,Long Beach,Washington,-124.063,46.356,Estimate,0,0,0,Unknown,No Data,,M544
99,15-12-99,Turtle,Green Sea Turtle,Live,Pacific City,Oregon,-123.969,45.209,Estimate,0,0,0,Unknown,No Data,,
101,16-12-99,Turtle,Green Sea Turtle,Dead,Taholah,Washington,-124.292,47.341,Estimate,0,0,0,Unknown,No Data,,
102,16-12-99,Turtle,Green Sea Turtle,Dead,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,Carcass collected and frozen for later identification.
103,17-12-99,Turtle,Green Sea Turtle,Dead,Copalis,Washington,-124.18,47.116,Estimate,0,0,0,Unknown,No Data,,Carcass collected and frozen for later identification.
104,30-12-99,Turtle,Green Sea Turtle,Live,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,M543
105,12-01-00,Turtle,Green Sea Turtle,Dead,Moolak,Oregon,-124.062,44.7,Estimate,0,0,0,Unknown,No Data,,
106,26-01-00,Turtle,Green Sea Turtle,Dead,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,
108,19-03-00,Turtle,Green Sea Turtle,Live,Gearheart,Oregon,-123.927,46.025,Estimate,0,0,0,Unknown,No Data,,M546/M547
125,01-10-01,Turtle,Green Sea Turtle,No Data,"Chapin, Admiralty",Alaska,-134.324,57.135,Estimate,0,0,0,No Data,No Data,,
131,03-11-02,Turtle,Green Sea Turtle,No Data,Kodiak,Alaska,-152.403,57.787,Estimate,0,0,0,No Data,No Data,,Original CCL on form was 85.3 CM.
133,27-01-04,Turtle,Green Sea Turtle,Live,Westport,Washington, -124.1158,46.9013,Estimate,0,0,0,Unknown,No Data,,M549
