Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Beach,Area,Mile Marker,High Tide Dist.,Longitude,Latitude,Est. / Exact,Length,Width,Weight,Sex,Entangled?,Entangling Item,Injured?,Injury Desc.,Notes
0000-00-00,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Monterey Bay, CA",0,0,-121.021,36.963,estimate,113,0,0,Female,no data,no data,no data,,
0000-00-00,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Monterey Bay, CA",0,0,-121.021,36.963,estimate,95,0,0,Female,no data,no data,no data,,
0000-00-00,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Monterey Bay, CA",0,0,-121.021,36.963,estimate,109,0,0,Female,no data,no data,no data,,
0000-00-00,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Monterey Bay, CA",0,0,-121.021,36.963,estimate,89,0,0,Male,no data,no data,no data,,
1/10/1938,0:00:00,,,Shark,Salmon Shark,no data,no data,,"Seattle, WA",0,0,-122.341,47.608,estimate,0,0,0,no data,no data,no data,no data,,University of Washington UWW 4364.
29/03/1950,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"San Pedro, CA",0,0,-118.309,33.712,estimate,75,0,0,no data,no data,no data,no data,,SCRIPPS SIO 50-114.
31/12/1984,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Santa Cruz, CA",0,0,-121.021,36.963,estimate,91,0,0,Male,no data,no data,no data,,
1/06/1994,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Four Mile Beach,"Four Mile Beach, CA",0,0,-122.122,36.966,estimate,91,0,0,no data,no data,no data,no data,,
29/01/1995,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Pleasure Point, CA",0,0,-121.977,36.954,estimate,91,0,0,no data,no data,no data,no data,,
29/01/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Morro Strand State Beach,"Morro Strand State Beach, CA",0,0,-120.869,36.364,estimate,91,0,0,no data,no data,no data,no data,,
31/01/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Tajiguas Beach,"Santa Barbara, CA",0,0,-120.101,34.464,estimate,104,0,0,no data,no data,no data,no data,,
6/02/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Cape Mendocino, CA",0,0,-124.011,39.988,estimate,122,0,0,no data,no data,no data,no data,,
10/02/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Pismo Beach,"Pismo Beach, CA",0,0,-120.643,35.141,estimate,0,0,0,Female,no data,no data,no data,,
16/02/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Drakes Bay, CA",0,0,-122.969,38.023,estimate,0,0,0,no data,no data,no data,no data,,
17/02/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"Moss Landing, CA",0,0,-121.789,36.806,estimate,108,0,0,Female,no data,no data,no data,,Saved for Los Angeles County Museum of Natural History
28/02/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Miramar Beach,"Santa Barbara, CA",0,0,-119.63,34.419,estimate,91,0,0,no data,no data,no data,no data,,
3/03/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,,"San Clemente Island, CA",0,0,-118.495,32.886,estimate,99,0,0,no data,no data,no data,no data,,SCRIPPS SIO 97-200.
4/03/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Topanga Beach,"Topanga Beach, CA",0,0,-118.582,34.039,estimate,99,0,0,Female,no data,no data,no data,,Los Angelese County Museum of Natural History 47306.
28/03/1997,0:00:00,,,Shark,Salmon Shark,Juvenile,no data,Dockweiler State Beach,"Dockweiler State Beach, CA",0,0,-118.436,33.93,estimate,120,0,0,Female,no data,no data,no data,,
9/03/1998,0:00:00,,,Shark,no data,no data,no data,,,0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
