Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Beach,Area,Mile Marker,High Tide Dist.,Longitude,Latitude,Est. / Exact,Length,Width,Weight,Sex,Entangled?,Entangling Item,Injured?,Injury Desc.,Notes
30-07-08,00:00,no data,no data,Squid,Clubhook Squid,no data,no data,,,0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
16-09-02,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,,0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
26-11-03,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,,0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
29-12-04,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,Nehalem,0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
28-10-09,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,quail st,0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
25-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,"North Jetty, Newport",0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
25-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,"North Jetty, Newport",0,0,0,0,no data,0,0,0,no data,no data,no data,no data,,
27-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,Thiel Creek,0,0,0,0,no data,36,31,0,no data,no data,no data,no data,,
27-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,Thiel Creek,0,0,0,0,no data,36,31,0,no data,no data,no data,no data,,
27-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,no data,,Thiel Creek,0,0,0,0,no data,36,31,0,no data,no data,no data,no data,,
10-10-13,11:30,no data,no data,Fish,Giant Sunfish,no data,Dead,Mcphillips Beach,North side of Cape Kiwanda,0,6,0,0,no data,0,0,0,no data,No,no data,Yes,small bites on back,
29-11-14,12:00,Fawn Custer,541-270-0027,Fish,Giant Sunfish,no data,Dead,CoastWatch Mile 280 ,North of Happy Camp.  ,0,0,0,0,no data,0,0,0,no data,No,no data,Yes,Unspecified,
21-11-15,03:23,Rick Mark,360-771-5784,Fish,Giant Sunfish,no data,Dead,Otter Rock,Otter Crest overlook to the north; Devils Punchbowl to the south; Gull Rock to the west (an ocean sea stack); Inn at Otter Crest to the east-isn,,20,-124.07,44.75,no data,0,0,0,no data,No,no data,Yes,"Fish was bloated, pale, with no eyes. Possible large bite taken out of top of head",I flipped the fish over and it was surprisingly heavy. The fish was found by my friend Kathy Buck-McCuin
01-09-58,00:00,,,Turtle,Green Sea Turtle,,Live/Dead,,"Naselle, WA",,,,,,,,,,,,,,Caught in a gillnet in the Naselle River estuary.*
01-09-58,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live/Dead,"Naselle, WA",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,Caught in a gillnet in the Naselle River estuary.*
20-02-61,00:00,,,Turtle,Green Sea Turtle,,Unknown,,"Westport, WA",,,,,,,,,,,,,,*
20-02-61,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Unknown,"Westport, WA",,0,0,0,0,no data,0,0,0,Unknown,no data,no data,no data,,*
13-03-75,00:00,,,Turtle,Green sea turtle,,ALIVE,,CALIFORNIA,,,,,,,,,,,,,,"Original Weight on form was 100 lbs.  Contact: RAY KEYES, SEAWORLD SAN DIEGO"
01-10-76,00:00,,,Turtle,Green sea turtle,,ALIVE,POINT MACARTNEY,ALASKA,,,,,,,,,,,,,,SIGHTING
01-11-76,00:00,,,Turtle,Green sea turtle,,,ELIZA HARBOR,ALASKA,,,,,,,,,,,,,,CARCASS
