DBID,Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Area,State,Mile Marker,High Tide Dist.,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Entangled,Entangling Item,Injured,Injury Desc.,Notes,,,,,,,,,,,,,,,,,,,,,,,
1,29-12-04,00:00,no data,no data,Fish,Giant Sunfish,no data,No Data,Nehalem Bay,Oregon,0,0,-123.93,45.69,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
2,25-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,No Data,"North Jetty, Newport",Oregon,0,0,-124.067,44.617,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
3,25-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,No Data,"North Jetty, Newport",Oregon,0,0,-124.067,44.617,Estimate,0,0,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
4,27-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,No Data,"Thiel Creek, Newport",Oregon,0,0,-124.069,44.564,Estimate,36,31,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
5,27-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,No Data,"Thiel Creek, Newport",Oregon,0,0,-124.069,44.564,Estimate,36,31,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
6,27-10-10,00:00,no data,no data,Fish,Giant Sunfish,no data,No Data,"Thiel Creek, Newport",Oregon,0,0,-124.069,44.564,Estimate,36,31,0,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
7,10-10-13,11:30,no data,no data,Fish,Giant Sunfish,no data,Dead,"Mcphillips Beach, North Side Of Cape Kiwanda, Pacific City",Oregon,0,6,-123.975,45.221,Estimate,0,0,0,No Data,No,No Data,Yes,small bites on back,,,,,,,,,,,,,,,,,,,,,,,,
8,21-11-15,03:23,Rick Mark,360-771-5784,Fish,Giant Sunfish,no data,Dead,"Otter Rock, Otter Crest Overlook To The North; Devils Punchbowl To The South; Gull Rock To The West (An Ocean Sea Stack); Inn At Otter Crest To The East-Isn",Oregon,,20,-124.07,44.75,Estimate,0,0,0,No Data,No,No Data,Yes,"Fish was bloated, pale, with no eyes. Possible large bite taken out of top of head",I flipped the fish over and it was surprisingly heavy. The fish was found by my friend Kathy Buck-McCuin,,,,,,,,,,,,,,,,,,,,,,,
9,01-09-58,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live/Dead,Naselle,Washington,0,0,-123.812,46.366,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Caught in a gillnet in the Naselle River estuary.*,,,,,,,,,,,,,,,,,,,,,,,
10,20-02-61,00:00,no data,no data,Turtle,Green Sea Turtle,no data,No Data,Westport,Washington,0,0,-124.109,46.895,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
